title,url,price
Hario V60 Measuring Scoop-White,https://prima-coffee.com/equipment/hario/m-12w-hario-sp,5.0
Yama Bamboo Stir Stick for Siphon Brewing,https://prima-coffee.com/equipment/yama/es-1,5.0
"Hario Coffee Brown Paper Filter Size 02 for V60 Brewer, 40 Count (Un-tabbed)",https://prima-coffee.com/equipment/hario/vcf-02-40m-hario-sp,6.0
Hario Paper Siphon Filters - 100 Pack,https://prima-coffee.com/equipment/hario/cf-103e,6.19
1 oz. Coffee Scoop - 1 dozen,https://prima-coffee.com/equipment/rattleware/03717-rattl-sp,6.99
"Hario F-103S Filter for TCA, NXA, or SCA Series Syphons",https://prima-coffee.com/equipment/hario/f-103s-hario-sp,6.99
"Yama Coffee Syphon / Siphon Vacuum Pot Filters, Set of 5",https://prima-coffee.com/equipment/yama/cp-1,9.5
Hario V60 Coffee Dripper Size 01,https://prima-coffee.com/equipment/hario/v60-01,10.0
Hario Paper Filter Holder for Siphons - with 50 Filters,https://prima-coffee.com/equipment/hario/f-103mn,11.0
Hario V60 Coffee Dripper Size 02,https://prima-coffee.com/equipment/hario/v60-02,11.0
Able Heat Lid for Chemex Brewers,https://prima-coffee.com/equipment/able/heat-lid-black,12.0
Specialty Turkish Coffee Olivewood Stirring Paddle,https://prima-coffee.com/equipment/specialty-turkish-coffee/stc-paddle,12.0
